HK,Residual,Psipred,CA
61.75,68.43,73.25,58.24
61.77,68.44,73.26,58.24
61.79,68.45,73.28,58.28
61.79,68.45,73.3,58.29
61.81,68.48,73.33,58.35
61.81,68.5,73.34,58.35
61.81,68.52,73.36,58.36
61.88,68.55,73.36,58.41
61.89,68.57,73.38,58.43
61.91,68.6,73.39,58.44
61.97,68.63,73.39,58.46
61.97,68.65,73.41,58.49
61.99,68.67,73.41,58.5
61.99,68.7,73.41,58.54
62,68.75,73.45,58.6
62.01,68.78,73.47,58.62
62.02,68.78,73.47,58.7
62.05,68.79,73.49,58.7
62.06,68.79,73.51,58.71
62.14,68.81,73.51,58.75
62.14,68.82,73.52,58.78
62.16,68.84,73.53,58.78
62.17,68.89,73.53,58.84
62.17,68.9,73.54,58.86
62.18,68.91,73.61,58.87
62.18,68.91,73.61,58.89
62.19,68.92,73.62,58.93
62.23,68.95,73.62,58.97
62.26,68.95,73.63,58.98
62.26,68.96,73.65,58.99
62.26,69,73.66,59.01
62.32,69.02,73.67,59.03
62.34,69.06,73.69,59.03
62.36,69.08,73.71,59.03
62.38,69.12,73.72,59.08
62.4,69.15,73.72,59.08
62.41,69.17,73.75,59.13
62.43,69.17,73.8,59.15
62.46,69.2,73.82,59.16
62.46,69.2,73.85,59.16
62.47,69.22,73.85,59.17
62.47,69.23,73.86,59.23
62.55,69.26,73.87,59.24
62.57,69.27,73.87,59.26
62.59,69.28,73.9,59.28
62.61,69.32,73.92,59.28
62.64,69.34,73.96,59.34
62.66,69.37,73.96,59.35
62.66,69.4,73.97,59.35
62.7,69.4,73.99,59.35
62.71,69.45,74.02,59.38
62.86,69.52,74.02,59.38
62.86,69.53,74.03,59.4
62.89,69.6,74.03,59.44
62.95,69.62,74.03,59.47
62.97,69.63,74.05,59.49
62.99,69.63,74.06,59.52
63.01,69.64,74.07,59.57
63.07,69.64,74.08,59.57
63.09,69.68,74.09,59.59
63.12,69.72,74.09,59.64
63.13,69.72,74.1,59.66
63.14,69.75,74.1,59.67
63.17,69.77,74.12,59.68
63.19,69.78,74.12,59.71
63.2,69.79,74.13,59.72
63.21,69.79,74.13,59.77
63.21,69.87,74.14,59.77
63.24,69.87,74.17,59.88
63.24,69.89,74.17,59.89
63.26,69.9,74.18,59.89
63.28,69.9,74.2,59.91
63.3,69.93,74.21,59.94
63.33,69.94,74.22,59.98
63.41,69.95,74.23,59.99
63.44,69.99,74.24,60.01
63.44,70,74.24,60.02
63.47,70.01,74.24,60.02
63.49,70.01,74.25,60.03
63.5,70.03,74.26,60.04
63.51,70.03,74.28,60.1
63.51,70.04,74.29,60.1
63.51,70.05,74.3,60.11
63.51,70.09,74.31,60.11
63.52,70.16,74.32,60.12
63.54,70.17,74.33,60.14
63.61,70.2,74.37,60.16
63.65,70.2,74.39,60.17
63.66,70.2,74.39,60.32
63.69,70.26,74.4,60.33
63.69,70.26,74.42,60.34
63.72,70.26,74.45,60.35
63.76,70.32,74.46,60.36
63.76,70.33,74.49,60.39
63.82,70.34,74.51,60.41
63.83,70.38,74.51,60.49
63.84,70.42,74.51,60.49
63.86,70.45,74.55,60.52
63.88,70.48,74.58,60.54
63.89,70.5,74.6,60.57
63.9,70.52,74.6,60.57
63.9,70.55,74.61,60.59
63.91,70.57,74.63,60.64
63.94,70.58,74.63,60.72
63.95,70.58,74.64,60.74
63.96,70.59,74.64,60.77
63.97,70.62,74.67,60.8
63.98,70.63,74.7,60.82
64.01,70.63,74.71,60.84
64.02,70.64,74.74,60.86
64.03,70.68,74.74,60.92
64.06,70.68,74.75,60.95
64.08,70.69,74.75,61
64.09,70.79,74.8,61.01
64.1,70.82,74.82,61.06
64.11,70.83,74.86,61.08
64.14,70.88,74.86,61.12
64.16,70.9,74.87,61.12
64.17,70.9,74.87,61.21
64.18,70.9,74.88,61.22
64.23,70.93,74.88,61.27
